date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:25:02	16140/16140	---M--	200	added ('OK')	text/html	etag:%222851158187%22	http://themes.khaitawng.com/Homane/index.html	C:/My%20Web%20Sites/homan/themes.khaitawng.com/Homane/index.html	(from )
14:25:02	499/499	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Apr%202017%2006:25:03%20GMT	http://themes.khaitawng.com/robots.txt		(from )
14:25:04	121260/121260	---M--	200	added ('OK')	text/css	etag:%223467058210%22	http://themes.khaitawng.com/Homane/css/bootstrap.min.css	C:/My%20Web%20Sites/homan/themes.khaitawng.com/Homane/css/bootstrap.min.css	(from http://themes.khaitawng.com/Homane/index.html)
14:25:05	72922/72922	---M--	200	added ('OK')	text/css	etag:%222151916766%22	http://themes.khaitawng.com/Homane/css/animate.css	C:/My%20Web%20Sites/homan/themes.khaitawng.com/Homane/css/animate.css	(from http://themes.khaitawng.com/Homane/index.html)
14:25:06	6951/6951	---M--	200	added ('OK')	text/css	etag:%223575165305%22	http://themes.khaitawng.com/Homane/css/magnific-popup.css	C:/My%20Web%20Sites/homan/themes.khaitawng.com/Homane/css/magnific-popup.css	(from http://themes.khaitawng.com/Homane/index.html)
14:25:06	31000/31000	---M--	200	added ('OK')	text/css	etag:%222917368835%22	http://themes.khaitawng.com/Homane/css/font-awesome.min.css	C:/My%20Web%20Sites/homan/themes.khaitawng.com/Homane/css/font-awesome.min.css	(from http://themes.khaitawng.com/Homane/index.html)
14:25:07	9657/9657	---M--	200	added ('OK')	text/css	etag:%222248475203%22	http://themes.khaitawng.com/Homane/css/style.css	C:/My%20Web%20Sites/homan/themes.khaitawng.com/Homane/css/style.css	(from http://themes.khaitawng.com/Homane/index.html)
14:25:14	39717/39717	---M--	200	added ('OK')	image/jpeg	etag:%222195948261%22	http://themes.khaitawng.com/Homane/images/work-image1.jpg	C:/My%20Web%20Sites/homan/themes.khaitawng.com/Homane/images/work-image1.jpg	(from http://themes.khaitawng.com/Homane/index.html)
14:25:15	69964/69964	---M--	200	added ('OK')	image/jpeg	etag:%224077103825%22	http://themes.khaitawng.com/Homane/images/profile-image.jpg	C:/My%20Web%20Sites/homan/themes.khaitawng.com/Homane/images/profile-image.jpg	(from http://themes.khaitawng.com/Homane/index.html)
14:25:15	39947/39947	---M--	200	added ('OK')	image/jpeg	etag:%223536028410%22	http://themes.khaitawng.com/Homane/images/work-image2.jpg	C:/My%20Web%20Sites/homan/themes.khaitawng.com/Homane/images/work-image2.jpg	(from http://themes.khaitawng.com/Homane/index.html)
14:25:15	36517/36517	---M--	200	added ('OK')	image/jpeg	etag:%222183364900%22	http://themes.khaitawng.com/Homane/images/work-image3.jpg	C:/My%20Web%20Sites/homan/themes.khaitawng.com/Homane/images/work-image3.jpg	(from http://themes.khaitawng.com/Homane/index.html)
14:25:17	85658/85658	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2024%20Apr%202017%2006:25:17%20GMT	http://themes.khaitawng.com/Homane/js/jquery.js	C:/My%20Web%20Sites/homan/themes.khaitawng.com/Homane/js/jquery.js	(from http://themes.khaitawng.com/Homane/index.html)
14:25:18	36868/36868	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2024%20Apr%202017%2006:25:18%20GMT	http://themes.khaitawng.com/Homane/js/bootstrap.min.js	C:/My%20Web%20Sites/homan/themes.khaitawng.com/Homane/js/bootstrap.min.js	(from http://themes.khaitawng.com/Homane/index.html)
14:25:20	4235/4235	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2024%20Apr%202017%2006:25:20%20GMT	http://themes.khaitawng.com/Homane/js/jquery.backstretch.min.js	C:/My%20Web%20Sites/homan/themes.khaitawng.com/Homane/js/jquery.backstretch.min.js	(from http://themes.khaitawng.com/Homane/index.html)
14:25:20	4474/4474	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2024%20Apr%202017%2006:25:21%20GMT	http://themes.khaitawng.com/Homane/js/smoothscroll.js	C:/My%20Web%20Sites/homan/themes.khaitawng.com/Homane/js/smoothscroll.js	(from http://themes.khaitawng.com/Homane/index.html)
14:25:22	20932/20932	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2024%20Apr%202017%2006:25:22%20GMT	http://themes.khaitawng.com/Homane/js/jquery.magnific-popup.min.js	C:/My%20Web%20Sites/homan/themes.khaitawng.com/Homane/js/jquery.magnific-popup.min.js	(from http://themes.khaitawng.com/Homane/index.html)
